Margarine;margarină;margarine;Ich esse ein Sandwich mit Margarine. ;Eu mănânc un sandviş cu margarină. ;f;o;două;Früchte und Lebensmittel;[sound:015-12.mp3]
Tomate;roşie;roșii;Ich esse ein Sandwich mit Margarine und Tomate. ;Eu mănânc un sandviş cu margarină şi roşii. ;f;o;două;Früchte und Lebensmittel;[sound:015-13.mp3]
Reis;orez;;Wir brauchen Brot und Reis. ;Noi avem nevoie de pâine şi orez. ;n;un;două;Früchte und Lebensmittel;[sound:015-14.mp3]
Fisch;peşte;pești;Wir brauchen Fisch und Steaks. ;Noi avem nevoie de peşte şi friptură. ;m;un;doi;Früchte und Lebensmittel;[sound:015-15.mp3]
Spaghetti;spaghete;;Wir brauchen Pizza und Spaghetti. ;Noi avem nevoie de pizza şi spaghete. ;pl;un;două;Früchte und Lebensmittel;[sound:015-16.mp3]
Bedarf;nevoie;nevoi;Was brauchen wir noch? ;De ce mai avem nevoie? ;f;o;două;Früchte und Lebensmittel;[sound:015-17.mp3]
Karotte;morcov;morcovi;Wir brauchen Karotten und Tomaten für die Suppe. ;Avem nevoie de morcovi şi roşii pentru supă. ;pl;un;două;Früchte und Lebensmittel;[sound:015-18.mp3]
Supermarkt;supermarket;supermarketuri;Wo ist ein Supermarkt? ;Unde este un supermarket?;n;un;două;Früchte und Lebensmittel;[sound:015-19.mp3]
knusprig;bine prăjit;;;;;;;;
Steak, Braten;friptură;fripturi;;;f;o;două;;
Brot;pâine;pâini;;;f;o;două;Duolingo;
Tee;ceai;ceaiuri;;;n;un;două;Duolingo;
Kaffe;cafea;;;;f;o;două;Duolingo;
Saft;suc;sucuri;;;n;un;două;Duolingo;
Wasser;apă;;;;f;o;două;Duolingo;
Milch;lapte;lăpturi;ein Glas Milch;un pahar de lapte;n;un;două;Duolingo;
Appetit;poftă;pofte;Guten Appetit;Poftă bună;f;o;două;Duolingo;
Weichei, Muttersöhnchen;papă-lapte;;;;m;un;doi;Slang;
Speisekarte;meniu;meniuri;;;n;un;două;Duolingo;
Brief;scrisoare;scrisori;;;f;o;două;Duolingo;
Nachricht;mesaj;mesaje;;;n;un;două;Duolingo;
Zeitung;ziar;ziare;;;n;un;două;Duolingo;
Buch;carte;cărți;;;f;o;două;Duolingo;
wie viel;câtă;;;;;;;Duolingo;
Schokolade;ciocolată;ciocolate;;;f;o;două;Duolingo;
Honig;miere;;;;f;o;două;Duolingo;
Zucker;zahăr;;;;n;un;două;Duolingo;
Käse;brânză;brânzeturi;;;f;o;două;Duolingo;
Frühstück;mic dejun;;;;n;un;două;Duolingo;
Tisch;masă;mese;;;f;o;două;Duolingo;
Öl;ulei;;;;n;un;două;Duolingo;
Abendessen;cină;cine;;;f;o;două;Duolingo;
Suppe;supă;supe;;;f;o;două;Duolingo;
Mittagessen;dejun/ prânz;dejunuri;;;n;un;două;Duolingo;
Gemüse;legumă;legume;;;f;o;două;Duolingo;
Pfeffer;piper;;;;m;un;doi;Duolingo;
Salz;sare;;;;f;o;două;Duolingo;
Knoblauch;usturoi;;;;m;un;doi;Duolingo;
Zwiebel;ceapă;cepe;;;f;o;două;Duolingo;
Rettich;ridiche;ridichi;;;f;o;două;Duolingo;
Gurke;castravete;castraveți;;;m;un;doi;Duolingo;
Kraut/ Kohl;varză;verze;;;f;o;două;Duolingo;
Kartoffel;cartof;cartofi;;;m;un;doi;Duolingo;
Herd;cuptor;cuptoare;;;n;un;două;Duolingo;
Aubergine;vânătă;vinete;;;f;o;două;Duolingo;
Küche;bucătărie;bucătări;;;f;o;două;Duolingo;
Blumenkohl;conopidă;conopide;;;f;o;două;Duolingo;
Senf;muștar;;;;m;un;doi;Duolingo;
Kuchen;plăcintă;plăcinte;;;f;o;două;Duolingo;
Essig;oțet;oțeturi;;;n;un;două;Duolingo;
viel/ viele;multe;;;;;;;Duolingo;
Eiscreme;înghețată;înghețate;;;f;o;două;Duolingo;
Rindfleisch;carne de vită;cărnuri;;;f;o;două;Duolingo;
Schweinefleisch;carne de porc;;;;f;o;două;Duolingo;
Zitrone;lămâie;lămâi;;;f;o;două;Duolingo;
Pfannkuchen;clătită;clătite;;;f;o;două;Duolingo;
Pfirsich;piersică;piersici;;;f;o;două;Duolingo;
Erdnuss;arahidă;arahide;Eine Erdnuss pro Tag;O arahidă pe zi;f;o;două;Duolingo;
Ei;ou;ouă;;;n;un;două;Duolingo;
Himbeere;zmeură;zmeure;;;f;o;două;Duolingo;
Birne;pară;pere;;;f;o;două;Duolingo;
Gabel;furculiță;furculițe;;;f;o;două;Duolingo;
Teller;farfurie;farfurii;;;f;o;două;Duolingo;
Teelöffel;linguriță;lingurițe;;;f;o;două;Duolingo;
Aprikose;caisă;caise;;;f;o;două;Duolingo;
